city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Flint,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 7.88, 'aqi': 9}","{'concentration': 52.93, 'aqi': 44}","{'concentration': 1.79, 'aqi': 2}","{'concentration': 3.25, 'aqi': 10}","{'concentration': 4.28, 'aqi': 3}",44
Town 'n' Country,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 5.14, 'aqi': 6}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 1.36, 'aqi': 2}","{'concentration': 5.04, 'aqi': 16}","{'concentration': 5.79, 'aqi': 5}",53
Silver Spring,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 14.74, 'aqi': 18}","{'concentration': 41.13, 'aqi': 34}","{'concentration': 2.8, 'aqi': 4}","{'concentration': 2.32, 'aqi': 7}","{'concentration': 3.88, 'aqi': 3}",34
Fairfield,"{'concentration': 407.22, 'aqi': 4}","{'concentration': 24.68, 'aqi': 30}","{'concentration': 6.88, 'aqi': 5}","{'concentration': 0.33, 'aqi': 0}","{'concentration': 10.93, 'aqi': 35}","{'concentration': 15.76, 'aqi': 14}",35
Rochester,"{'concentration': 263.69, 'aqi': 2}","{'concentration': 5.44, 'aqi': 6}","{'concentration': 60.08, 'aqi': 53}","{'concentration': 1.39, 'aqi': 2}","{'concentration': 0.5, 'aqi': 1}","{'concentration': 1.07, 'aqi': 0}",53
San Ramon,"{'concentration': 186.92, 'aqi': 2}","{'concentration': 3, 'aqi': 3}","{'concentration': 32.54, 'aqi': 27}","{'concentration': 0.11, 'aqi': 0}","{'concentration': 2.03, 'aqi': 6}","{'concentration': 3.15, 'aqi': 2}",27
Daly City,"{'concentration': 223.64, 'aqi': 2}","{'concentration': 2.74, 'aqi': 3}","{'concentration': 72.96, 'aqi': 93}","{'concentration': 0.6, 'aqi': 0}","{'concentration': 2.2, 'aqi': 7}","{'concentration': 4.02, 'aqi': 3}",93
Melbourne,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 25.36, 'aqi': 31}","{'concentration': 90.84, 'aqi': 139}","{'concentration': 18.36, 'aqi': 27}","{'concentration': 14.94, 'aqi': 48}","{'concentration': 16.72, 'aqi': 15}",139
Eagan,"{'concentration': 333.79, 'aqi': 3}","{'concentration': 17.65, 'aqi': 22}","{'concentration': 37.91, 'aqi': 32}","{'concentration': 2.98, 'aqi': 4}","{'concentration': 8.09, 'aqi': 26}","{'concentration': 10.24, 'aqi': 9}",32
Santa Clarita,"{'concentration': 494, 'aqi': 5}","{'concentration': 44.55, 'aqi': 55}","{'concentration': 31.83, 'aqi': 26}","{'concentration': 3.87, 'aqi': 5}","{'concentration': 27.05, 'aqi': 73}","{'concentration': 39.45, 'aqi': 36}",73
Akron,"{'concentration': 307.08, 'aqi': 3}","{'concentration': 11.82, 'aqi': 14}","{'concentration': 43.63, 'aqi': 36}","{'concentration': 0.83, 'aqi': 1}","{'concentration': 3.42, 'aqi': 11}","{'concentration': 6.26, 'aqi': 5}",36
Inglewood,"{'concentration': 2029.42, 'aqi': 23}","{'concentration': 219.35, 'aqi': 202}","{'concentration': 0, 'aqi': 0}","{'concentration': 31.47, 'aqi': 46}","{'concentration': 158.56, 'aqi': 208}","{'concentration': 199.96, 'aqi': 122}",208
Fort Wayne,"{'concentration': 297.07, 'aqi': 3}","{'concentration': 9.34, 'aqi': 11}","{'concentration': 45.42, 'aqi': 38}","{'concentration': 1.51, 'aqi': 2}","{'concentration': 4.98, 'aqi': 16}","{'concentration': 6.04, 'aqi': 5}",38
Suffolk,"{'concentration': 310.42, 'aqi': 3}","{'concentration': 13.2, 'aqi': 16}","{'concentration': 23.96, 'aqi': 20}","{'concentration': 1.22, 'aqi': 1}","{'concentration': 1.81, 'aqi': 5}","{'concentration': 2.95, 'aqi': 2}",20
Johns Creek,"{'concentration': 283.72, 'aqi': 3}","{'concentration': 7.88, 'aqi': 9}","{'concentration': 42.2, 'aqi': 35}","{'concentration': 0.67, 'aqi': 0}","{'concentration': 4.85, 'aqi': 15}","{'concentration': 7.47, 'aqi': 6}",35
Sparks,"{'concentration': 534.06, 'aqi': 6}","{'concentration': 58.95, 'aqi': 73}","{'concentration': 1.01, 'aqi': 0}","{'concentration': 2.15, 'aqi': 3}","{'concentration': 18.3, 'aqi': 55}","{'concentration': 32.42, 'aqi': 30}",73
Longview,"{'concentration': 277.04, 'aqi': 3}","{'concentration': 8.82, 'aqi': 11}","{'concentration': 39.34, 'aqi': 33}","{'concentration': 0.7, 'aqi': 1}","{'concentration': 3.61, 'aqi': 11}","{'concentration': 4.88, 'aqi': 4}",33
San Juan,"{'concentration': 193.6, 'aqi': 2}","{'concentration': 0.16, 'aqi': 0}","{'concentration': 72.24, 'aqi': 91}","{'concentration': 0.2, 'aqi': 0}","{'concentration': 1.72, 'aqi': 5}","{'concentration': 5.95, 'aqi': 5}",91
Centennial,"{'concentration': 854.49, 'aqi': 9}","{'concentration': 86.37, 'aqi': 103}","{'concentration': 0.01, 'aqi': 0}","{'concentration': 4.17, 'aqi': 6}","{'concentration': 38.28, 'aqi': 95}","{'concentration': 45.22, 'aqi': 41}",103
